© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	blood5k_ipa - 2025-11-25 05:21 PM
Date	Tue Nov 25 14:21:55 PST 2025
Analysis ID	43056416

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed) AND
(tissues = Other T lymphocytes OR Activated CD56dim NK cells OR Bone marrow-derived dendritic cells OR Th17 cells OR Cytotoxic T cells OR Memory B cells OR Peripheral blood lymphocytes OR Activated CD56bright NK cells OR B lymphocytes not otherwise specified OR Effector memory cytotoxic T cells OR Other Monocyte-derived dendritic cells OR Effector memory RA+ cytotoxic T cells OR BDCA-1+ dendritic cells OR Dendritic cells not otherwise specified OR Myeloid dendritic cells OR Other Peripheral blood leukocytes OR PBMCs OR NK cells not otherwise specified OR Other NK cells OR Granulocytes not otherwise specified OR Other Dendritic cells OR Mature monocyte-derived dendritic cells OR Peripheral blood monocytes OR CD4+ T-lymphocytes OR Macrophages not otherwise specified OR Activated Vd1 Gamma-delta T cells OR Intraepithelial T lymphocytes OR Pro-B lymphocytes OR Monocyte-derived macrophage OR Mononuclear leukocytes not otherwise specified OR Other Granulocytes OR Plasma cells OR Plasmacytoid dendritic cells OR Immature monocyte-derived dendritic cells OR Other Memory T lymphocytes OR Immune cells not otherwise specified OR CD56bright NK cells OR Langerhans cells OR Central memory helper T cells OR Central memory cytotoxic T cells OR Other Mononuclear leukocytes OR Murine NKT cells OR Th2 cells OR Memory T lymphocytes not otherwise specified OR Naive B cells OR Neutrophils OR Other Macrophages OR Vd1 Gamma-delta T cells OR BDCA-3+ dendritic cells OR Activated Vd2 Gamma-delta T cells OR Effector T cells OR Eosinophils OR Vd2 Gamma-delta T cells OR CD56dim NK cells OR CD34+ cells OR Mast cells OR Peritoneal macrophages OR Naive helper T cells OR Lymphocytes not otherwise specified OR Monocytes not otherwise specified OR Effector memory helper T cells OR Activated helper T cells OR Other Monocytes OR T lymphocytes not otherwise specified OR Th1 cells OR Natural T-regulatory cells OR Bone marrow-derived macrophages OR Thymocytes OR Monocyte-derived dendritic cells not otherwise specified OR Peripheral blood leukocytes not otherwise specified OR Other Immune cells OR Other Lymphocytes OR Other B lymphocytes OR Pre-B lymphocytes OR Microglia)

Canonical Pathways for My Projects->Nasal_TB->blood5k_ipa - 2025-11-25 05:21 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
FLVCR2	FLVCR2	0.879918902234265	2.25005108503316E-4	0.0117358325354852
FMNL1	FMNL1	0.426447769131794	0.0130119522147232	0.0832032020031727
FNDC3B	FNDC3B	0.686872208163547	9.22212810619222E-4	0.0241820840378537
FNIP1	FNIP1	0.445274051185853	0.00438087683218036	0.0508852887667911
FOS	FOS	0.607526465985127	0.0104132255964893	0.0755108962996085
FOSB	FOSB	-0.51388830656689	0.00913837676463345	0.0714575985799532
FOSL2	FOSL2	0.657123934554312	0.00467680933278824	0.0525717084547912
FOXO3	FOXO3	0.646745322096547	0.00260856817138568	0.0406281340120678
FPR1	FPR1	0.69354517339271	0.0167959001557886	0.0949363076066655
FPR2	FPR2	0.804967506598131	0.00591357453338302	0.0593160729202168
FPR3	FPR3	-0.808263457470418	0.00814516361975448	0.0679448441246462
FRAT1	FRAT1	0.547980865528982	0.0129657918277895	0.0830835075781643
FRAT2	FRAT2	0.608353317475349	0.0155089082018616	0.0912096414063953
FREY1	FREY1	0.435784832727585	0.0101242588740859	0.0746833250573458
FRMD3	FRMD3	0.867328499526161	1.78076853421733E-4	0.0106161201078341
FRMD4B	FRMD4B	0.912181425366814	1.02185767550356E-4	0.00838629379702278
FSTL4	FSTL4	1.50096663406671	0.00527242204011568	0.0559317775358279
FTH1	FTH1	0.703477144663607	9.43571809022317E-4	0.0244785501428298
FUCA1	FUCA1	-0.364113112394363	0.00943303443349229	0.0721836699655609
FURIN	FURIN	0.778786142367499	2.90720183423765E-4	0.0128867933505519
FUT10	FUT10	-0.463679917785419	0.00657752112651715	0.0619975808884556
FUT11	FUT11	-0.376849835654515	0.00810958657039929	0.0678636668608699
FUT2	FUT2	-0.457011736270644	0.0151132318381578	0.0896625368637885
FUT7	FUT7	0.69535724319707	0.0112802842408592	0.0782756386030097
FXYD5	FXYD5	-0.234327809054387	0.0128615198390051	0.0828345548276692
FYB1	FYB1	0.674112083387294	2.38987026489389E-5	0.00370429891058554
FYCO1	FYCO1	-0.315968008249153	3.83717124013206E-4	0.0152069712499552
FZD1	FZD1	0.492503475277721	0.00706421576150915	0.064266684852548
FZD5	FZD5	0.731097467408956	8.86192173503465E-5	0.00777508227696436
FZR1	FZR1	0.293153251761851	0.0117548497937564	0.0796613884700637
G0S2	G0S2	1.07237831293306	0.0034265742713687	0.0460452761090284
G6PD	G6PD	0.468238870728238	0.0165601065338522	0.0944454154322313
GAB2	GAB2	0.475001868352924	0.0178248874438304	0.0977426021389284
GABARAPL2	GABARAPL2	0.624698744228139	8.0061350790604E-4	0.0222925318069646
GABBR1	GABBR1	0.537683307888347	3.61682295518449E-5	0.0049955128935469
GADD45A	GADD45A	0.925749944767977	1.51526537483317E-4	0.0100656914185346
GADD45B	GADD45B	0.63285699796729	0.00577582465834333	0.0588980230240607
GADD45G	GADD45G	1.06382623427264	1.71839665411927E-5	0.0032394099087789
GALNS	GALNS	0.351217790435494	0.0112777383575566	0.0782756386030097
GALNT14	GALNT14	1.50537813641536	9.46683393545719E-4	0.0244785501428298
GALNT4	GALNT4	0.699180973148551	0.0112961235577858	0.0783205385840513
GAPT	GAPT	-0.735099620481991	0.00133801339434622	0.0292376116492173
GARRE1	GARRE1	-0.322995924355266	0.00153047100360418	0.031121869262156
GAS2L1	GAS2L1	0.745256671928569	0.00522348119901614	0.0556942419517918
GAS7	GAS7	0.968768019393315	2.30208695303257E-4	0.0118939386224482
GAS8	GAS8	0.642038242385603	9.74330031653136E-5	0.00818789394069954
GATA6	GATA6	-1.25240476658119	0.00103954724136643	0.0255978282671255
GATAD2A	GATAD2A	0.322135233626655	0.00588896770414811	0.0592997180325217
GATM	GATM	-0.56078074554828	0.00942569974430303	0.0721671303145045
GBA1	GBA1	0.565986507129861	0.00619022985539688	0.0607269384548429
GBP1	GBP1	1.08179570794539	2.8052281351631E-5	0.00420784220274465
GBP2	GBP2	0.775534215185054	1.68161664915758E-5	0.00321350030900662
GBP3	GBP3	0.446333536403344	0.0161435043626992	0.0931676097199332
GBP4	GBP4	0.736041900883598	6.16361719327476E-4	0.0194091331481226
GBP5	GBP5	1.23885062076174	2.46152589331169E-7	4.08190555441402E-4
GBP6	GBP6	2.24096797800906	2.61175034057393E-10	3.64339172510064E-6
GCA	GCA	0.856963272980779	0.00136095398182058	0.0293435982169971
GCNT1	GCNT1	0.267019006497904	0.0154071238794632	0.0908408191540624
GCNT7	GCNT7	0.466316555048483	1.7349371037155E-4	0.0105519975321267
GFOD2	GFOD2	0.514994026767931	0.00116762658628591	0.0270571277054625
GFUS	GFUS	0.750005540996764	0.0138948144749973	0.0857922917596577
GGA2	GGA2	-0.300102446629034	0.00527802320457574	0.0559486502308751
GHITM	GHITM	0.283905029398422	0.00159926753678396	0.0314378680748557
GHRL	GHRL	0.331161313991981	0.00857807296833926	0.0690901373604692
GID4	GID4	0.493562255096301	0.0101671417382736	0.0747662768839834
GINS3	GINS3	-0.566998076476351	0.00820613447494841	0.0681187938263258
GIT2	GIT2	0.323269794343933	0.00772778562515967	0.0661959207816274
GJB7	GJB7	0.464813183076982	0.00532209274598848	0.0561257019321994
GJC2	GJC2	0.633128613622077	0.00279159900278555	0.0418716681008209
GK	GK	1.10949207362604	2.01741897187626E-5	0.00342143101794134
GK3	GK3	0.885095530499764	6.52758501573987E-4	0.0198820547968496
GLB1L	GLB1L	0.293813573514386	0.0177983084777572	0.0976352352594229
GLDN	GLDN	1.27843210545699	0.00282869029408066	0.042158364959856
GLIPR1	GLIPR1	-0.282826209189897	0.0114410069936363	0.0787081627918629
GLIPR2	GLIPR2	0.465829582108119	0.012120364357368	0.0805906018995629
GLRX	GLRX	0.459936469251096	0.00259108776653191	0.0405543391281931
GLT1D1	GLT1D1	0.872523338242172	0.00146270861932218	0.0303191459725772
GLUL	GLUL	0.500758494388495	0.0121765863460036	0.0807626461202689
GM2A	GM2A	0.738842504885093	5.10673386910921E-4	0.0178148801053306
GMFG	GMFG	0.418580303729035	0.00847113873145033	0.0688024821030877
GMIP	GMIP	0.423415050334169	0.0175336412932792	0.0969458169010084
GMPR2	GMPR2	0.361603433436754	0.00532288915098923	0.0561257019321994
GNA12	GNA12	0.543529490757791	0.0180333699233527	0.0983446092379866
GNA15	GNA15	0.417708056171892	0.0163793487004689	0.0937926834501977
GNAQ	GNAQ	0.493834984712665	0.009615963752386	0.0729461603486201
GNAT2	GNAT2	0.503208879074183	0.00674278169061519	0.0630603545555546
GNG10	GNG10	1.0383481277871	0.00105924196410691	0.0257878279219745
GNG7	GNG7	-0.58897360269394	7.72950766984744E-4	0.0219159821126772
GNLY	GNLY	-1.02605611361511	2.12625879946054E-5	0.00344898956424123
GNPNAT1	GNPNAT1	-0.310921458398042	0.00652593123339807	0.0618381295586479
GNS	GNS	0.760690761780765	1.36934422282865E-4	0.00956957948875425
GOLM2	GOLM2	0.27536731907978	0.0137919742516084	0.0856525631794911
GOT2	GOT2	-0.326669649325214	0.00999024666055524	0.0742878149865382
GP6	GP6	0.464159991428642	7.64382444915489E-4	0.0218506866937932
GPALPP1	GPALPP1	-0.284340372533492	0.0138826940224028	0.0857677509355707
GPATCH2	GPATCH2	-0.378323171372657	6.72081378977727E-4	0.0200331949502976
GPN3	GPN3	-0.339831622165494	0.0108056229650982	0.0767116744850484
GPR107	GPR107	0.310152162860588	0.00185319164070448	0.0337934946246111
GPR137	GPR137	0.340535565477494	0.0110001541329258	0.0773838376975872
GPR137B	GPR137B	-0.39477430193161	0.00199946187619384	0.0352623175384376
GPR141	GPR141	0.638621926599519	0.0152528401047014	0.0902665002277212
GPR15	GPR15	-0.886321970729294	0.00997800758381193	0.0742558583477574
GPR153	GPR153	-0.694049281245227	0.00759881686586331	0.0658816005461735
GPR180	GPR180	-0.415528728899999	0.00300577059120601	0.0435415366015824
GPR183	GPR183	-0.474829478777961	0.0066038637373565	0.0621199589589502
GPR21	GPR21	0.394896711172779	0.00159733121556261	0.0314378680748557
GPR27	GPR27	0.738002518048286	0.00959730721248965	0.0729461603486201
GPR34	GPR34	-0.738581936343091	2.71204346583248E-4	0.0127383859758798
GPR82	GPR82	-0.689095736946027	1.98292546027957E-4	0.0110891940228523
GPR84	GPR84	1.90444626397311	7.33899025577758E-7	5.83906225740663E-4
GPR89B	GPR89B	-0.31749358511422	0.0166445480518504	0.0946017146296675
GPS2	GPS2	0.52907120100973	0.00173553801154114	0.0328504141940283
GPX3	GPX3	0.470789859561042	0.00741425212719168	0.0653263603348168
GRAMD1A	GRAMD1A	0.883533997431077	2.18139554546129E-4	0.0115453118290128
GRAMD1B	GRAMD1B	0.695553635879429	6.74021477272947E-4	0.020048186797351
GRB10	GRB10	1.82058521010385	3.0859389584105E-6	0.00107442830500068
GRB2	GRB2	0.401462981107307	0.00937724854520115	0.0720906913749803
GREP1	GREP1	0.806618962110407	0.00685917284283278	0.063662981475394
GRIN3A	GRIN3A	0.406565809507949	0.00997494112549491	0.0742558583477574
GRINA	GRINA	0.767020712373247	0.0037966453217484	0.0479304997632491
GRIP1	GRIP1	0.481391111328098	0.00309798091115857	0.043924719429991
GRIPAP1	GRIPAP1	0.372796676310759	0.00225601962505611	0.03778020455046
GRN	GRN	0.711693923884959	0.00331364668601294	0.0453189914410593
GSDMD	GSDMD	0.511006651836223	3.36761545255571E-4	0.0140289005010176
GSK3B	GSK3B	0.342040820288903	7.93423069743707E-4	0.0222254052669171
GSR	GSR	0.368461400940571	5.34403138780199E-4	0.0182271975207427
GSTK1	GSTK1	0.307249625393148	2.03226988709738E-4	0.0111177117352974
GSTO1	GSTO1	0.489390945051542	0.001298508859567	0.0289009527592054
GSTO2	GSTO2	0.531225750943386	0.0150771084692839	0.0895519099956176
GTDC1	GTDC1	0.275183886709087	0.00940038879771401	0.0721051882203653
GTF2H2C	GTF2H2C	0.481130192163727	0.00217263123694301	0.0370063562336447
GTF3C4	GTF3C4	-0.204452637465462	0.00649156123652971	0.0618381295586479
GTPBP1	GTPBP1	0.469380384176846	0.00614002623315831	0.0605318779203243
GUCY1B1	GUCY1B1	0.609687197502259	0.00819400436060754	0.0681187938263258
GUCY2C	GUCY2C	0.811985346373997	0.0083937518887772	0.0684477598541537
GVQW3	GVQW3	-0.438758703385267	0.00664015725613405	0.0623689595298811
GXYLT1	GXYLT1	-0.221241635694847	0.00685019509281817	0.063662981475394
GYG1	GYG1	0.997521338375285	7.86941540707784E-5	0.0072700890681282
GZMK	GZMK	-0.88870779593693	9.63347556933985E-4	0.0248404776695547
H1-10	H1-10	-0.29877323773894	0.00470880150766524	0.0527189253867818
H1-2	H1-2	-0.313210721233143	0.00830991647582445	0.0683420591316149
H1-3	H1-3	-0.435253000371496	0.00373372841804255	0.047682015091038
H1-4	H1-4	-0.331995799624523	0.00435229808734981	0.0507222709427985
H1-6	H1-6	1.03524386416667	0.00614773652490204	0.0605318779203243
H2BC15	H2BC15	-0.359479817433953	0.013067155107611	0.0834039221026039
H2BC4	H2BC4	0.84387591602894	0.0112244363319963	0.0782513177567956
H3-3B	H3-3B	0.461680757275466	0.0143633692751806	0.0877382294167835
H3C1	H3C1	-0.471780114724514	0.00638957720410239	0.0616327532796199
H3C6	H3C6	0.711573240779916	0.00887576462893127	0.0702706677489167
H6PD	H6PD	0.43101767687652	0.00197534978835865	0.0350250896583362
HACD2	HACD2	-0.275903621737951	0.00564877579940258	0.0580261828379759
HADH	HADH	-0.272305866281842	0.0185332588707593	0.0999763964605925
HAPSTR1	HAPSTR1	0.389098841229952	0.00793925157509725	0.0671634684491247
HAS1	HAS1	0.867203107922115	0.00243442687593135	0.0392781409167753
HAUS4	HAUS4	0.88856428993696	9.14178349141039E-5	0.00793639488603298
HCAR2	HCAR2	0.892020446069875	0.00483565134643343	0.0534104008572814
HCAR3	HCAR3	0.886296539803224	0.00458277329162592	0.0519160844285869
HCK	HCK	0.612942033537526	0.00644427403645372	0.0617133769896832
HDAC4	HDAC4	0.687495158021368	5.72234057627449E-5	0.0058999206135932
HDAC9	HDAC9	-0.440614248518141	0.0101634216918823	0.0747662768839834
HDGF	HDGF	0.71236548044619	0.00298082095071073	0.0433454022281099
HENMT1	HENMT1	-0.32885424339026	0.0162011129892068	0.0932390850179952
HERC3	HERC3	0.362837639486356	0.00620496081622261	0.0607838742339332
HERC4	HERC4	0.220083343809272	0.0158489252628816	0.0921347688102889
HES4	HES4	-0.844168398140533	0.01285806246633	0.0828345548276692
HEXD	HEXD	0.409461177577079	0.00381861714640448	0.0479475330264109
HFE	HFE	0.763933533963617	0.00456815669091075	0.0519160844285869
HGF	HGF	0.55125031697277	0.0125737295854886	0.0819253639579793
HGS	HGS	0.289837133111398	0.0105745542867896	0.0760386764436678
HHEX	HHEX	0.458680203102081	0.0149566907505006	0.0893283873260421
HIF1A	HIF1A	0.527408977435869	0.00597993599062101	0.0595857907636879
HIF1AN	HIF1AN	0.181708095966516	0.00516630884659084	0.0553533090706161
HILPDA	HILPDA	-0.564252251406105	0.00464329772323412	0.0523637859653322
HIVEP2	HIVEP2	0.32403633561826	0.00455619678386922	0.0519160844285869
HJV	HJV	1.09853787927645	0.010748893725366	0.076602620664464
HK1	HK1	0.578299206269435	0.00156050510118664	0.0314378680748557
HK3	HK3	0.819832757736679	0.00234314959238181	0.0385914248095942
HLA-B	HLA-B	0.485019497399479	0.00343606684082427	0.0460452761090284
HLA-C	HLA-C	0.659410956572169	9.99809659329007E-4	0.0253774813955712
HLA-E	HLA-E	0.527693411003451	0.00145025865676723	0.030183844402846
HLA-F	HLA-F	0.412557894953235	2.26131166833922E-4	0.0117358325354852
HLA-G	HLA-G	0.634248503350126	0.0118722890354459	0.0798931172428703
HLF	HLF	-0.808763571582079	0.00135236347691673	0.0292487914775013
HLX	HLX	0.572514486109083	0.0166367556475159	0.0946017146296675
HMG20A	HMG20A	-0.233878038366138	0.0149796113042294	0.0893397082915777
HMGA2	HMGA2	1.26361528149179	4.58798730584626E-4	0.0166672976345196
HMGN1	HMGN1	-0.25961112634633	0.0120639529178963	0.0803383756446545
HMGN3	HMGN3	-0.501534823051964	0.0040449159632716	0.049296500471194
HMOX2	HMOX2	-0.250609485150281	0.00642655416616243	0.0616652345869635
HNRNPDL	HNRNPDL	-0.217465869816466	0.00871583161008365	0.0697566557433545
HNRNPLL	HNRNPLL	0.546315209830344	0.00327846031353476	0.0451539307635344
HORMAD1	HORMAD1	0.859254626231271	0.00260066083181229	0.0406262246402927
HOXA9	HOXA9	1.20333427567778	0.00754160076710094	0.065595104816479
HP	HP	1.45057604159914	3.98596621927871E-5	0.00505492988717618
HPD	HPD	0.888343994799352	2.45346226158203E-4	0.0121848887229248
HPN	HPN	1.61861723466113	4.21487640087377E-4	0.016021124194057
HPS1	HPS1	0.285297786484172	4.42844688175317E-4	0.0164361148045516
HPSE	HPSE	0.895751415490481	3.95051368463827E-4	0.0155355153764989
HRH2	HRH2	0.715191359219911	0.0094047417944078	0.0721051882203653
HRH4	HRH4	-0.931415648830583	0.00346014566429376	0.0460472955351952
HRK	HRK	-1.389535673683	5.33412499986766E-4	0.0182271975207427
HROB	HROB	0.541559452807218	0.00205655194527196	0.0358030075177089
HS2ST1	HS2ST1	0.45224567434814	1.11633250203494E-4	0.00852296676653924
HS3ST1	HS3ST1	-0.771754082941112	0.00218025688607333	0.0370672026287685
HSD3B7	HSD3B7	1.25535452357064	0.00116754426311774	0.0270571277054625
HSPA6	HSPA6	0.822379601711576	0.00304016175534256	0.0436768861864354
HSPB1	HSPB1	0.805334015251305	0.00696562846533248	0.0639481258363287
HSPBAP1	HSPBAP1	0.365882786181284	0.0111959916075565	0.0782203036183344
HTR4	HTR4	0.612466917433556	0.00200309624481021	0.0352818088574526
HTRA3	HTRA3	2.15876798595289	2.30537954106655E-5	0.00361348815706499
HVCN1	HVCN1	-0.507660726044419	8.59859193400638E-5	0.00768818607004213
HYCC1	HYCC1	-0.321533456987599	0.00400203892576229	0.0490153143234275
HYCC2	HYCC2	0.527389875092154	0.0170453866075085	0.0952956498679693
ICA1L	ICA1L	-0.381505672403141	0.0175998843949764	0.0971965112074115
ICAM1	ICAM1	0.883311662020491	3.55544403247565E-4	0.0144601878288733
ICOSLG	ICOSLG	-0.735732850081105	0.00169100852048796	0.032447825118029
ID2	ID2	-0.306587451548228	0.0106692681542109	0.0764831915474009
IDH3A	IDH3A	-0.26908066901436	0.0104137174375789	0.0755108962996085
IER3	IER3	0.714732121274884	0.00506620604567698	0.0547212892915083
IFI30	IFI30	0.683055186442394	6.10386277855988E-4	0.0192644537920612
IFITM10	IFITM10	0.876939216093962	0.00787014546335681	0.0668626852702969
IFITM3	IFITM3	0.677265517501577	0.0138747170135535	0.085756447646908
IFNAR1	IFNAR1	0.581131872375404	6.01446064270252E-4	0.0190253346860998
IFNAR2	IFNAR2	0.41993358510382	4.64008932525624E-6	0.00145807308330375
IFNGR1	IFNGR1	0.600752178114794	0.00166664490026573	0.0321444279013452
IFNK	IFNK	0.566768986052636	0.00604254392709678	0.0598250445585522
IGF1R	IGF1R	0.611252493525422	0.0179040166295114	0.0978576421993811
IGF2BP2	IGF2BP2	1.19333299694185	2.40824889924212E-4	0.012128184889685
IGF2R	IGF2R	0.634998364758038	8.76761238666899E-4	0.023566125779197
IGFBP4	IGFBP4	-0.53161959696327	0.00831161499849616	0.0683420591316149
IGSF10	IGSF10	1.07156375013159	0.00700868656632781	0.0639863727750478
IGSF6	IGSF6	0.568546220821724	0.00595487695653891	0.0595061128536661
IHO1	IHO1	0.67683566208621	0.0184799654751869	0.0997660674840777
IKZF2	IKZF2	-0.759051796215493	5.51554753818665E-4	0.0184512921241496
IL10RA	IL10RA	-0.19537120585289	0.0148957199345176	0.0892591465148286
IL10RB	IL10RB	0.529258114928808	1.82529482327128E-4	0.0106550103149308
IL12RB1	IL12RB1	0.3308618863342	0.00197851678086699	0.0350250896583362
IL13RA1	IL13RA1	0.642938818316184	0.00443568669961661	0.0513508958171384
IL15	IL15	0.451014325768722	0.0104993601898641	0.075895056125619
IL15RA	IL15RA	0.370186790287286	0.00713102751968968	0.0643447840781421
IL17RA	IL17RA	0.725202195787106	0.00260451815217519	0.0406281340120678
IL18R1	IL18R1	1.93706576005849	7.19432974726835E-7	5.83906225740663E-4
IL18RAP	IL18RAP	1.46768259783465	3.66005192980484E-7	4.08190555441402E-4
IL19	IL19	0.81941435263042	0.0148301830078082	0.0890591847962074
IL1R1	IL1R1	1.33239579668478	0.00194250494002498	0.0346498449933111
IL1R2	IL1R2	2.04035021944422	1.83586325401587E-5	0.00328337081968223
IL1RAP	IL1RAP	0.563108995815678	0.00851282603915982	0.0689338053846409
IL24	IL24	-0.54182845792509	0.00453580651796623	0.0519160844285869
IL27	IL27	0.983499251616051	3.40363349319382E-5	0.00485674168089983
IL32	IL32	-0.384820742222063	0.00693887430895273	0.0639481258363287
IL4R	IL4R	0.85543816322759	0.00122792103368518	0.0279437168350869
IL5RA	IL5RA	-1.05194538968427	0.00591459909906965	0.0593160729202168
IL6R	IL6R	0.628396583816283	0.00380968745066855	0.0479475330264109
ILF2	ILF2	-0.233484673992528	0.0103257031138724	0.0752578675227381
ILK	ILK	0.407869653273747	0.0013199511066456	0.0292182763213037
INAFM1	INAFM1	0.512743151623233	0.00268405488303107	0.0410104771284594
INPP1	INPP1	-0.314999846078888	0.00838140428880325	0.0684477598541537
INPPL1	INPPL1	0.28106245875773	0.0134653950551829	0.0848266657296899
INSL3	INSL3	1.30418953367664	2.81117489342545E-6	0.0010658910973398
INSL6	INSL6	0.54251462294804	8.60084439213913E-4	0.0232974328680274
INSYN2B	INSYN2B	0.299506997644957	0.01436810119856	0.0877382294167835
INTS3	INTS3	0.253969427427775	0.00227140228246228	0.0379019878473071
INTS6	INTS6	0.252271343116051	0.00356258113795739	0.0467525934849535
INTS8	INTS8	0.222380375031126	0.0149678129511493	0.0893397082915777
IPMK	IPMK	0.404716201905815	0.0153356744308388	0.0906110369801782
IPPK	IPPK	0.20827460655864	0.0153935586553286	0.0908376240447692
IQSEC1	IQSEC1	0.333387441113311	0.0112726262750741	0.0782756386030097
IRAK2	IRAK2	0.731558381682006	0.0048005454007029	0.0532757425137673
IRAK3	IRAK3	1.19611845494881	1.45225224938659E-5	0.00289413126842041
IRAK4	IRAK4	0.288551010679251	0.00160671686362582	0.0314799160780621
IRF1	IRF1	0.587480799171714	6.00335649137489E-5	0.00606861036628114
IRF2	IRF2	0.493559557514186	1.69024133856733E-4	0.0105262797647385
IRF2BPL	IRF2BPL	0.780477060309265	0.00391163389682562	0.0483324117455424
IRS2	IRS2	0.989309663149207	0.00132129896355771	0.0292182763213037
ITGA2B	ITGA2B	1.3876418805871	4.36336478684487E-4	0.0163505987968018
ITGA4	ITGA4	-0.434893509303561	0.00158982395035793	0.0314378680748557
ITGA7	ITGA7	2.52554028497695	1.02170191401417E-5	0.00222699089070277
ITGA9	ITGA9	0.738153023192778	0.00335291632400723	0.0456652385502219
ITGAD	ITGAD	0.991736899110965	0.00710685262072258	0.064317097221385
ITGAM	ITGAM	0.944142578148152	7.34858867141611E-4	0.0213687647878981
ITGAX	ITGAX	0.747225867500765	1.8000412473663E-4	0.0106400743223559
ITGB1BP1	ITGB1BP1	-0.216597559672499	0.00712175439312146	0.0643447840781421
ITGB2	ITGB2	0.495259985059095	0.00523974630417978	0.055797298430006
ITGB3	ITGB3	1.29850523266104	8.32805205830946E-4	0.0227796718065524
ITGB4	ITGB4	0.587273232401913	0.0170574445398583	0.0952956498679693
ITGB5	ITGB5	0.795175631502037	0.00534500433117032	0.0561984042719966
ITM2A	ITM2A	-0.624899132104801	0.00338098582739434	0.0457466074608642
ITM2B	ITM2B	0.458509931642658	0.0113604821076892	0.0786494915147714
ITM2C	ITM2C	-0.639099022187713	0.01443436403939	0.0878062415912434
ITPA	ITPA	-0.273460045500842	0.00776582228933016	0.0662994008177208
ITPKB	ITPKB	-0.245908384869971	0.00180371429711666	0.0332946006568411
ITPKC	ITPKC	0.391643950692533	0.00825223134679545	0.0681982389145714
ITPR1	ITPR1	-0.214163200316677	0.0179090007551986	0.0978576421993811
ITPR2	ITPR2	0.232112681220429	0.00310110883999958	0.043924719429991
ITPRIP	ITPRIP	0.553200010087484	0.00641427228280743	0.0616327532796199
ITPRIPL2	ITPRIPL2	0.36446781216544	0.0127899160133458	0.0825251287632627
IVNS1ABP	IVNS1ABP	0.525432444386434	0.00304414245070011	0.0436890814683813
IWS1	IWS1	0.194101372989622	0.0140903754001378	0.086514408816867
JAG1	JAG1	0.662426441057942	0.00103724465180273	0.0255978282671255
JAK2	JAK2	0.646026560992901	7.62912877781273E-5	0.00709508976336584
JAK3	JAK3	0.856322168879766	1.17381095798852E-5	0.00248100952483938
JAM3	JAM3	0.586338346216219	0.00652284978290189	0.0618381295586479
JDP2	JDP2	0.541607866461842	0.0150285715092295	0.0894245620621725
JKAMP	JKAMP	0.252018036390153	0.00694331387254754	0.0639481258363287
JMJD1C	JMJD1C	0.368682076680857	0.00877819542476362	0.0699747578145443
JUNB	JUNB	0.633672779578671	0.00565287329582862	0.0580261828379759
KANSL2	KANSL2	-0.267635023049278	0.00109582124510897	0.0262717587344547
KAT2A	KAT2A	-0.337358116763788	0.0106942980935115	0.0765956472333037
KAT6A	KAT6A	0.395744362175983	0.00212685163835495	0.0366291115494463
KATNAL1	KATNAL1	-0.369881800618147	0.013148231418323	0.0837524330071262
KATNAL2	KATNAL2	-0.358868120539594	0.0100212949367691	0.074478990073484
KATNIP	KATNIP	0.374280612135394	0.00278793715735713	0.0418716681008209
KAZN	KAZN	1.64844311322193	5.95581823455473E-6	0.00166167328744077
KBTBD7	KBTBD7	0.495551764009152	0.00552150915091729	0.0572251505611413
KCMF1	KCMF1	0.297149086530039	0.00177113040541314	0.0329956433917611
KCNA3	KCNA3	-0.359149789072135	0.0152439418207106	0.090260181833155
KCNAB3	KCNAB3	0.313382232891565	0.014936128646839	0.0893283873260421
KCNB1	KCNB1	0.714114284254263	0.00589982176747328	0.0592997180325217
KCND1	KCND1	0.935528267354141	6.39042521211056E-4	0.019801859900182
KCNE1	KCNE1	0.94418842992978	0.00705323186993194	0.0642421163808963
KCNE5	KCNE5	0.931330073534683	0.00340563142240619	0.0459463813757896
KCNG2	KCNG2	0.71450416286716	7.67711337857515E-4	0.0218562717614538
KCNH2	KCNH2	1.04038553746017	9.97239982762114E-4	0.0253774813955712
KCNH7	KCNH7	1.24732857579846	5.92950552164541E-4	0.018971697712604
KCNH8	KCNH8	-1.55819663309077	1.59100528499657E-4	0.010284075801609
KCNJ15	KCNJ15	1.18436450152445	4.24006294589145E-4	0.0160295062588579
KCNJ2	KCNJ2	0.788985376504991	0.00158196645679431	0.0314378680748557
KCNMA1	KCNMA1	1.04714103935722	0.00792397941566505	0.0670749471168249
KCNRG	KCNRG	0.439062349159714	0.00602853435386219	0.0598136943359727
