© 2000-2025 QIAGEN. All rights reserved.

Analysis Details for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Workspace	My Projects
Project	Nasal_TB
Analysis	nasal_5k_ipa - 2025-12-01 12:15 PM
Date	Mon Dec 01 09:15:07 PST 2025
Analysis ID	43063910

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	--
Cutoff for Expression qvalue	0.1
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Human) AND
(confidence = High (predicted) OR Experimentally Observed)

Canonical Pathways for My Projects->Nasal_TB->nasal_5k_ipa - 2025-12-01 12:15 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	knee arthritis	Knee arthritis	7.71E-03	 	 	 	 	POSTN,CNR2,CTSG,TUBB4B	4	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	hematological neoplasia	Hematopoietic neoplasm	7.94E-03	 	 	 	 	CCR7,PDCD1LG2,RSAD2,CCL18,IFIT1,IL22RA2,CLCA1,OR52M1,PPP1R16B,CTSG,SYT2,TESPA1,SPIB,P2RY10,OTOF,CD69,FHL3,BTNL8,CLC,OASL,ADAM19,SORD,TUBB4B,TRAF5,PIP4K2A,UBXN11,IL31RA,FETUB,PCDHA12,CCR3,RFTN1,PHGDH,MMP12,ZBTB16,BAIAP3,ANKRD55,IFIT2,GZMB,ANO1,PER1,ISG15,SLC9B2,HRH4,IRF4,CEBPE,RASGRP3,MS4A1,ITIH5,IFT74,FDFT1,PDK4,WEE1,CD44,CLEC12A,POSTN,GGT5,IFIT3,CYP51A1,CRISP2	59	
Cellular Movement	migration	Migration of cells	7.99E-03	 	-1.836	 	-0.934	CCR7,PHGDH,CCL18,CLDN3,MMP12,IFIT1,CST1,ZBTB16,SFRP1,CASS4,CCN2,IFIT2,CTSG,GZMB,P2RY10,CD69,SQLE,COL28A1,ISG15,HRH4,MS4A1,HSD11B2,PTGDR2,EMP3,FDFT1,CNR2,PDK4,CD44,POSTN,IFIT3,MAP2K6,CCR3	32	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	non-Hodgkin disease	High grade non-Hodgkin disease	8.01E-03	 	 	 	 	MS4A1,CD44,TUBB4B	3	
Infectious Diseases, Organismal Injury and Abnormalities	severe COVID-19	Severe COVID-19	8.14E-03	 	 	 	 	RSAD2,IFIT3,ISG15,GZMB,TUBB4B	5	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CCND1 non-overexpressing IGH/CCND1 negative mantle cell lymphoma	CCND1 non-overexpressing IGH/CCND1 negative mantle cell lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive Burkitt lymphoma	CD20 positive Burkitt lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Dermatological Diseases and Conditions, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive primary cutaneous diffuse large B-cell lymphoma	CD20 positive primary cutaneous diffuse large B-cell lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive relapsed follicular B-cell non-Hodgkin lymphoma	CD20 positive relapsed follicular B-cell non-Hodgkin lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease, Tumor Morphology	castration refractory prostate cancer	Progressive castration refractory prostate cancer	8.14E-03	 	 	 	 	CYP51A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	extranodal marginal zone cell lymphoma	Refractory extranodal marginal zone cell lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	nodal marginal zone lymphoma	Refractory nodal marginal zone lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	splenic marginal zone lymphoma	Refractory splenic marginal zone lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	nodal marginal zone lymphoma	Relapsed nodal marginal zone lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	splenic marginal zone lymphoma	Relapsed splenic marginal zone lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	stage IB cervical carcinoma	Stage IB cervical carcinoma	8.14E-03	 	 	 	 	CD44,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Burkitt lymphoma	Stage III Burkitt lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Burkitt lymphoma	Stage IV Burkitt lymphoma	8.14E-03	 	 	 	 	MS4A1,TUBB4B	2	
Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	familial congenital myopathy	Familial congenital myopathy	8.15E-03	 	 	 	 	TNNC2,SLC1A7,LGALS12,TPSAB1,CTSG,SYT2	6	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	osteoarthritis	Osteoarthritis	8.17E-03	 	 	 	 	POSTN,SLC1A7,PHGDH,MMP12,ITLN1,FDFT1,CNR2,MAP2K6,BTNL8,TUBB4B,PIP4K2A	11	
Auditory Disease, Neurological Disease, Organismal Injury and Abnormalities	syndromic hearing loss	Syndromic hearing loss	8.26E-03	 	 	 	 	OTOF,SLC26A4,CLCNKB,TUBB4B	4	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	pancreaticobiliary neoplasm	Pancreaticobiliary neoplasm	8.48E-03	 	 	 	 	CCR7,MAPKAPK3,PDCD1LG2,PHGDH,DENND2D,CCL18,DOK2,CST1,ZBTB16,CASS4,CCN2,SAMD3,BAIAP3,IFIT2,HS3ST3A1,CLCA1,OR52M1,DMRTC2,SYT2,GZMB,TESPA1,ARL15,OTOF,SLC1A7,SQLE,ANO1,CEACAM21,PER1,RASGRP3,BTNL8,HEPH,ITIH5,ADAM19,PDK4,WEE1,CD44,TUBB4B,POSTN,CDH26,FETUB,PCDHA12,CYP51A1,CRISP2,CCR3	44	
Gastrointestinal Disease, Organismal Injury and Abnormalities	abnormality	Abnormality of oral mucosa	8.59E-03	 	 	 	 	PHGDH,CD44,TUBB4B	3	
Cellular Movement, Renal and Urological System Development and Function	cell movement	Cell movement of kidney cell lines	8.64E-03	 	 	 	 	POSTN,PTGDR2,COL28A1,CCR3	4	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	squamous cell carcinoma of the vagina or vulva	Squamous cell carcinoma of the vagina or vulva	8.64E-03	 	 	 	 	OTOF,ADAM19,CD44,TUBB4B	4	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	proliferation	Proliferation of cancer cells	8.71E-03	 	-0.625	 	-0.147	ANO1,LGALS12,SFRP1,CD44,TESPA1	5	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CCND1 overexpression positive IGH/CCND1 fusion positive mantle cell lymphoma	CCND1 overexpression positive IGH/CCND1 fusion positive mantle cell lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	diffuse large B-cell lymphoma transformed from marginal zone lymphoma	Diffuse large B-cell lymphoma transformed from marginal zone lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	Epstein Barr virus positive diffuse large B-cell lymphoma	Epstein Barr virus positive diffuse large B-cell lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	hormone sensitive malignant neoplasm of prostate	Hormone sensitive malignant neoplasm of prostate	8.76E-03	 	 	 	 	RSAD2,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	indolent transformed lymphoma	Indolent transformed lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Developmental Disorder, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	Non-gastric extranodal marginal zone lymphoma of mucosa-associated lymphoid tissue	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	grade 1 follicular lymphoma	Stage III grade 1 follicular lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	grade 2 follicular lymphoma	Stage III grade 2 follicular lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	grade 1 follicular lymphoma	Stage IV grade 1 follicular lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	grade 2 follicular lymphoma	Stage IV grade 2 follicular lymphoma	8.76E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Organismal Injury and Abnormalities, Renal and Urological Disease	superficial bladder carcinoma	Superficial bladder carcinoma	8.76E-03	 	 	 	 	CD44,TUBB4B	2	
Dermatological Diseases and Conditions, Infectious Diseases, Organismal Injury and Abnormalities	tuberculoid leprosy	Tuberculoid leprosy	8.76E-03	 	 	 	 	CD1B,CTSG	2	
Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	disorder of basal ganglia	Disorder of basal ganglia	8.82E-03	 	 	 	 	TNNC2,MAPKAPK3,PHGDH,ZBTB16,ITLN1,FDFT1,CNR2,PDK4,CD44,TUBB4B,OTOF,SLC1A7,ISG15,CYP51A1,IRF4,RASGRP3	16	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	non-melanoma skin cancer	Non-melanoma skin cancer	8.84E-03	 	 	 	 	MS4A1,DOK2,FDFT1,LRRC32,CD44,TESPA1,P2RY10,POSTN,OTOF,SIGLEC6,PCDHA12,GAPT,IRF4,CCR3	14	
Endocrine System Disorders, Organismal Injury and Abnormalities	benign thyroid disease	Benign thyroid disease	9.18E-03	 	 	 	 	MS4A1,OTOF,CD69,SLC26A4,PRDX5,IRF4,PIP4K2A	7	
Cell Death and Survival	cell viability	Cell viability of tumor cell lines	9.27E-03	 	-1.193	 	-0.297	PHGDH,FABP6,CCL18,DOK2,CLDN3,IFIT1,ZBTB16,SFRP1,CCN2,WEE1,CD44,PPP1R16B,CTSG,SPIB,POSTN,SQLE,IRF4,MAP2K6,MCOLN2	19	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive prelingual nonsyndromic sensorineural hearing loss	Autosomal recessive prelingual nonsyndromic sensorineural hearing loss	9.41E-03	 	 	 	 	OTOF,SLC26A4	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	BCL2 rearrangement positive c-MYC rearrangement positive diffuse large B-cell lymphoma	BCL2 rearrangement positive c-MYC rearrangement positive diffuse large B-cell lymphoma	9.41E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	BCL6 rearrangement positive c-MYC rearrangement positive diffuse large B-cell lymphoma	BCL6 rearrangement positive c-MYC rearrangement positive diffuse large B-cell lymphoma	9.41E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 negative lymphoma	CD20 negative lymphoma	9.41E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	MYC translocation positive diffuse large B-cell lymphoma	MYC translocation positive diffuse large B-cell lymphoma	9.41E-03	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities, Respiratory Disease	nasal polyp	Nasal polyp	9.41E-03	 	 	 	 	PTGDR2,IRF4	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive follicular non Hodgkin lymphoma	Refractory CD20 positive follicular non Hodgkin lymphoma	9.41E-03	 	 	 	 	MS4A1,TUBB4B	2	
Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	skin hyperpigmentation	Skin hyperpigmentation	9.41E-03	 	 	 	 	CYP51A1,IRF4	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	breast cancer	Stage IIIC breast cancer	9.41E-03	 	 	 	 	FDFT1,TUBB4B	2	
Cell Death and Survival, Cellular Compromise	cytotoxicity	Cytotoxicity of cells	9.44E-03	 	 	 	 	CD69,CLEC12B,CCR3,GZMB	4	
Organismal Injury and Abnormalities, Renal and Urological Disease	kidney disease	Early stage kidney disease	9.44E-03	 	 	 	 	CLCNKB,ZBTB16,PDK4,TUBB4B	4	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	nasal type extranodal NK-/T-cell lymphoma	Nasal type extranodal NK-/T-cell lymphoma	9.44E-03	 	 	 	 	MS4A1,CCL18,IRF4,GZMB	4	
Cancer, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	hereditary malignant hematological system tumor	Hereditary malignant hematological system tumor	9.50E-03	 	 	 	 	MS4A1,IL31RA,TUBB4B	3	
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	hip osteoarthritis	Hip osteoarthritis	9.50E-03	 	 	 	 	FDFT1,MAP2K6,TUBB4B	3	
Cancer, Organismal Injury and Abnormalities	cancer	Stage IIIA cancer	9.50E-03	 	 	 	 	MS4A1,FDFT1,TUBB4B	3	
Cancer, Organismal Injury and Abnormalities	malignant solid tumor	Advanced malignant solid tumor	9.54E-03	 	 	 	 	TNNC2,MS4A1,CCR7,CLDN3,CST1,ITLN1,SFRP1,CCN2,FDFT1,CD44,TUBB4B,CYP51A1,IRF4	13	
Cellular Development	differentiation	Differentiation of progenitor cells	9.63E-03	 	-0.094	 	0.056	ZBTB16,SFRP1,CEBPE,GZMB,SPIB	5	
Organismal Injury and Abnormalities, Renal and Urological Disease	structural renal abnormality	Structural renal abnormality	9.81E-03	 	 	 	 	TNNC2,FDFT1,XCR1	3	
Cancer, Hematological Disease, Organismal Injury and Abnormalities	hematologic cancer	Hematologic cancer	9.93E-03	 	 	 	 	CCR7,PDCD1LG2,RSAD2,CCL18,IFIT1,CLCA1,OR52M1,PPP1R16B,CTSG,SYT2,TESPA1,SPIB,P2RY10,OTOF,CD69,FHL3,BTNL8,CLC,OASL,ADAM19,SORD,TUBB4B,TRAF5,PIP4K2A,UBXN11,IL31RA,FETUB,PCDHA12,CCR3,RFTN1,PHGDH,MMP12,ZBTB16,BAIAP3,ANKRD55,IFIT2,GZMB,ANO1,PER1,ISG15,SLC9B2,HRH4,IRF4,CEBPE,RASGRP3,MS4A1,ITIH5,IFT74,FDFT1,PDK4,WEE1,CD44,CLEC12A,POSTN,GGT5,IFIT3,CYP51A1,CRISP2	58	
Cellular Movement	cell movement	Cell movement	1.00E-02	 	-1.688	 	-0.778	CCR7,PHGDH,CCL18,CLDN3,MMP12,IFIT1,CST1,ZBTB16,SFRP1,CASS4,CCN2,IFIT2,CTSG,GZMB,P2RY10,CD69,SQLE,COL28A1,ISG15,HRH4,MS4A1,HSD11B2,PTGDR2,EMP3,FDFT1,CNR2,PDK4,CD44,POSTN,IFIT3,MAP2K6,CCR3,XCR1	33	
Cancer, Organismal Injury and Abnormalities	carcinoma in situ of breast and genitourinary system	Carcinoma in situ of breast and genitourinary system	1.01E-02	 	 	 	 	POSTN,HS3ST3A1,CD44,TUBB4B	4	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of CD4+ T-lymphocytes	1.01E-02	 	 	 	 	CD69,SFRP1	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	double hit type high grade B-cell lymphoma	Double hit type high grade B-cell lymphoma	1.01E-02	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	lymphoma	Metastatic lymphoma	1.01E-02	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive follicular non Hodgkin lymphoma	Relapsed CD20 positive follicular non Hodgkin lymphoma	1.01E-02	 	 	 	 	MS4A1,TUBB4B	2	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	stage I multiple myeloma	Stage I multiple myeloma	1.01E-02	 	 	 	 	FDFT1,TUBB4B	2	
Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	breast cancer	Stage IIIB breast cancer	1.01E-02	 	 	 	 	FDFT1,TUBB4B	2	
Cancer, Endocrine System Disorders, Organismal Injury and Abnormalities, Reproductive System Disease	primary ovarian cancer	Primary ovarian cancer	1.01E-02	 	 	 	 	POSTN,CLDN3,CD44	3	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	gastrointestinal adenocarcinoma	Gastrointestinal adenocarcinoma	1.02E-02	 	 	 	 	CCR7,PDCD1LG2,FABP6,IFIT1,IL22RA2,SFRP1,CASS4,CLCA1,OR52M1,PPP1R16B,CTSG,SYT2,SKAP2,TESPA1,P2RY10,OTOF,CD69,SLC1A7,SIGLEC6,P2RY13,NRROS,BTNL8,LRRC61,ADAM19,TUBB4B,PIP4K2A,UBXN11,IL31RA,CDH26,FETUB,PCDHA12,SLC27A3,CRYBA1,CCR3,RFTN1,MCOLN2,MAPKAPK3,PHGDH,DENND2D,SLC26A4,WDR93,PRSS33,DOK2,MMP12,CST1,ZBTB16,LRRC32,SAMD3,BAIAP3,ANKRD55,HS3ST3A1,VSTM1,SHISA2,SQLE,ANO1,COL28A1,PER1,ISG15,SLC9B2,IRF4,CEBPE,CD1B,RASGRP3,HEPH,MS4A1,NAIF1,PTGDR2,RGS18,EMP3,ITIH5,IFT74,HOXA3,IGFLR1,FDFT1,ENTPD4,CNR2,PDK4,CAPS2,CD44,CLEC12A,POSTN,GGT5,IFIT3,CLCNKB,SLC9A3,CYP51A1,SCNN1B,ZNF366,XCR1	89	
Cardiovascular Disease, Immunological Disease, Inflammatory Disease, Organismal Injury and Abnormalities	microscopic polyangiitis	Active stage microscopic polyangiitis	1.04E-02	 	 	 	 	MS4A1	1	
Cell-To-Cell Signaling and Interaction, Connective Tissue Development and Function, Hepatic System Development and Function	adhesion	Adhesion of hepatic stellate cells	1.04E-02	 	 	 	 	CCN2	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	aggregation	Aggregation of monocyte-derived dendritic cells	1.04E-02	 	 	 	 	CD44	1	
Cell Death and Survival	antiapoptosis	Antiapoptosis of colorectal cancer cell lines	1.04E-02	 	 	 	 	CD44	1	
Cell Death and Survival, Organismal Injury and Abnormalities	apoptosis	Apoptosis of invariant natural killer T cells	1.04E-02	 	 	 	 	ZBTB16	1	
Cell Morphology, Inflammatory Response	architecture	Architecture of monocyte-derived dendritic cells	1.04E-02	 	 	 	 	CCR7	1	
Cell Cycle	G2/M phase transition	Arrest in G2/M phase transition of bone cancer cell lines	1.04E-02	 	 	 	 	MAP2K6	1	
Cell Cycle	G2/M phase transition	Arrest in G2/M phase transition of colorectal cancer cell lines	1.04E-02	 	 	 	 	MAP2K6	1	
Cardiovascular System Development and Function, Cell Cycle	cell cycle progression	Arrest in cell cycle progression of vascular endothelial cells	1.04E-02	 	 	 	 	CD44	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	chronic lymphocytic leukemia	Asymptomatic stage chronic lymphocytic leukemia	1.04E-02	 	 	 	 	MS4A1	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal dominant osteopetrosis type 1	Autosomal dominant osteopetrosis type 1	1.04E-02	 	 	 	 	CLCNKB	1	
Auditory Disease, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive congenital deafness type 3	Autosomal recessive congenital deafness type 3	1.04E-02	 	 	 	 	OTOF	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	autosomal recessive deafness type 9	Autosomal recessive deafness type 9	1.04E-02	 	 	 	 	OTOF	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	BCL2 rearrangement positive BCL6 rearrangement positive CD20 positive MYC rearrangement positive diffuse large B-cell lymphoma	BCL2 rearrangement positive BCL6 rearrangement positive CD20 positive MYC rearrangement positive diffuse large B-cell lymphoma	1.04E-02	 	 	 	 	MS4A1	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	Bardet-Biedl syndrome type 22	Bardet-Biedl syndrome type 22	1.04E-02	 	 	 	 	IFT74	1	
Auditory Disease, Developmental Disorder, Endocrine System Disorders, Hematological Disease, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities, Renal and Urological Disease	Bartter syndrome type 4B	Bartter syndrome type 4B	1.04E-02	 	 	 	 	CLCNKB	1	
Dermatological Diseases and Conditions, Immunological Disease, Organismal Injury and Abnormalities	benign mucous membrane pemphigoid	Benign mucous membrane pemphigoid	1.04E-02	 	 	 	 	MS4A1	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	binding	Binding of Th2 cells	1.04E-02	 	 	 	 	CCR3	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	biosynthesis	Biosynthesis of D-fructose	1.04E-02	 	 	 	 	SORD	1	
Hereditary Disorder, Organismal Injury and Abnormalities, Respiratory Disease	bronchiectasis type 1	Bronchiectasis type 1	1.04E-02	 	 	 	 	SCNN1B	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CCND1 negative CD5 positive CD23 positive small lymphocytic lymphoma	CCND1 negative CD5 positive CD23 positive small lymphocytic lymphoma	1.04E-02	 	 	 	 	MS4A1	1	
Cancer, Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	CD20 positive double hit diffuse large B-cell lymphoma	CD20 positive double hit diffuse large B-cell lymphoma	1.04E-02	 	 	 	 	MS4A1	1	
Infectious Diseases, Organismal Injury and Abnormalities, Renal and Urological Disease	candiduria	Candiduria	1.04E-02	 	 	 	 	CYP51A1	1	
DNA Replication, Recombination, and Repair, Nucleic Acid Metabolism, Small Molecule Biochemistry	catabolism	Catabolism of GDP	1.04E-02	 	 	 	 	ENTPD4	1	
Drug Metabolism, Protein Synthesis	catabolism	Catabolism of glutathione	1.04E-02	 	 	 	 	GGT5	1	
Cell Cycle	cell cycle progression	Cell cycle progression of myeloid cells	1.04E-02	 	 	 	 	CD44	1	
Cellular Movement	cell movement	Cell movement of hairy cell leukemia cells	1.04E-02	 	 	 	 	CD44	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization	cell-cell adhesion	Cell-cell adhesion of melanoma cell lines	1.04E-02	 	 	 	 	CD44	1	
Cell-mediated Immune Response, Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response, Lymphoid Tissue Structure and Development	chemotaxis	Chemotaxis of Th2 cells	1.04E-02	 	 	 	 	PTGDR2	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of glioma stem cells	1.04E-02	 	 	 	 	ANO1	1	
Infectious Diseases, Organismal Injury and Abnormalities	complicated intra-abdominal infection	Complicated intra-abdominal infection	1.04E-02	 	 	 	 	PER1	1	
Skeletal and Muscular System Development and Function	contraction	Contraction of airway smooth muscle	1.04E-02	 	 	 	 	ANO1	1	
Lipid Metabolism, Small Molecule Biochemistry	conversion	Conversion of leukotriene C4	1.04E-02	 	 	 	 	GGT5	1	
Cell Death and Survival, Cellular Compromise	cytotoxicity	Cytotoxicity of keratinocyte cancer cell lines	1.04E-02	 	 	 	 	GZMB	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of plasmacytoid dendritic cells	1.04E-02	 	 	 	 	SPIB	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of pro-B lymphocytes	1.04E-02	 	 	 	 	SPIB	1	
Infectious Diseases, Organismal Injury and Abnormalities	disseminated candidiasis	Disseminated candidiasis	1.04E-02	 	 	 	 	CYP51A1	1	
Cancer, Gastrointestinal Disease, Organismal Injury and Abnormalities	colorectal adenoma	Early stage colorectal adenoma	1.04E-02	 	 	 	 	CD44	1	
Developmental Disorder, Immunological Disease, Inflammatory Disease, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	primary progressive multiple sclerosis	Early stage primary progressive multiple sclerosis	1.04E-02	 	 	 	 	MS4A1	1	
Cellular Function and Maintenance	endocytosis	Endocytosis by dendritic cells	1.04E-02	 	 	 	 	CCR7	1	
Carbohydrate Metabolism, Cellular Function and Maintenance, Drug Metabolism, Molecular Transport, Small Molecule Biochemistry	endocytosis	Endocytosis of hyaluronic acid	1.04E-02	 	 	 	 	CD44	1	
Cell Cycle	G2/M phase	Entry into G2/M phase of colorectal cancer cell lines	1.04E-02	 	 	 	 	WEE1	1	
Endocrine System Disorders, Gastrointestinal Disease, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Renal and Urological Disease	Fanconi renotubular syndrome with maturity-onset diabetes of the young type 4	Fanconi renotubular syndrome with maturity-onset diabetes of the young type 4	1.04E-02	 	 	 	 	SCNN1B	1	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Cellular Function and Maintenance, Tissue Development	formation	Formation of cell-associated matrix	1.04E-02	 	 	 	 	CD44	1	
Cardiovascular System Development and Function, Organismal Development	formation	Formation of vasculature	1.04E-02	 	 	 	 	CD44	1	
Cancer, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	growth	Growth of pancreatic ductal adenocarcinoma	1.04E-02	 	 	 	 	MAPKAPK3	1	
Cell Cycle, DNA Replication, Recombination, and Repair	homologous recombination	Homologous recombination of GFP reporter gene	1.04E-02	 	 	 	 	WEE1	1	
